"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Air Liquide Shanghai Chemical Industry Park (SCIP) decarbonisation (Shanghai)",541,"People's Republic of China","SCIPIG (Air Liquide)","Capture",2022,,2028,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Other Asia Pacific","https://www.airliquide.com/group/press-releases-news/2022-07-19/air-liquide-build-two-new-hydrogen-production-units-carbon-capture-technology-shanghai-chemical","https://www.businesswire.com/news/home/20230718825639/en/Air-Liquide-signs-new-green-financing-for-low-carbon-hydrogen-production-in-China-aligned-with-EU-Taxonomy",,,,,,"Link 1","Link 2","","","","",""
"Air Products for Exxonmobil Botlek Rotterdam refinery",150,"Netherlands","Exxonmobil, Air Products","Capture",2019,2023,2026,,"Under construction",,,1.011,"Other fuel transformation","Dedicated storage","Porthos","Europe","https://netherlandsnewslive.com/the-botlek-oil-industry-wants-2-1-billion-euros-for-co2-storage/62256/","https://www.airproducts.com/company/news-center/2023/11/1106-air-products-blue-hydrogen-plant-europe-and-exxonmobil-long-term-agreement","https://www.hydrogeninsight.com/production/largest-in-europe-air-products-announces-blue-hydrogen-plant-at-rotterdam-linked-to-dutch-offshore-ccs-network/2-1-1549667",,,,,"Link 1","Link 2","Link 3","","","",""
"AirCapture DACU at Nutrien Kennewick Fertilizer (WA)",21,"United States","AirCapture, Nutrien","CCU",2022,,,,"Planned",,,,"DAC","Use",,"North America","https://www.energy.gov/fecm/articles/selections-funding-opportunity-announcement-2560-direct-air-capture-combined",,,,,,,"Link 1","","","","","",""
"AirCapture Nuclear DAC at JM Farley Nuclear (AL)",22,"United States","Southern Company, Battelle, AirCapture LLC","Capture",2022,,,,"Planned",,,,"DAC","Dedicated storage",,"North America","https://www.energy.gov/fecm/articles/selections-funding-opportunity-announcement-2560-direct-air-capture-combined","https://www.power-eng.com/emissions/doe-funds-direct-air-capture-project-at-alabama-nuclear-plant/",,,,,,"Link 1","Link 2","","","","",""
"Airhive Alpha Lab pilot",952,"Canada","Airhive, Deep Sky","CCU",2023,,2024,,"Planned",,0.001,0.001,"DAC","Use",,"North America","https://airhive.earth/news/deep-sky-airhive-collab",,,,,,,"Link 1","","","","","",""
"Aittaluoto power (Pori)",1032,"Finland","RenGas, Pori Energia","CCU",2022,2025,2027,,"Planned",,0.1,0.1,"Power and heat","Use",,"Europe","https://ren-gas.com/en/projekti/pori-2/",,,,,,,"Link 1","","","","","",""
"Aker CC Biomass CHP (unknown facility)",1099,"Germany","Aker CC, unknown company","Capture",2023,,,,"Planned",,0.25,0.25,"Power and heat","Unknown/unspecified",,"Europe","https://akercarboncapture.com/?cision_id=4338F917D2B89C6E",,,,,,,"Link 1","","","","","",""
"Aker CC mineral production (unknown facilities)",920,"United States","Aker CC, unknown company","Capture",2023,,,,"Planned",,1.5,1.5,"Cement","Unknown/unspecified",,"North America","https://akercarboncapture.com/?cision_id=C8E822C2D97A90E2",,,,,,,"Link 1","","","","","",""
"Aker CC power plant Europe (unknown facilities)",1097,"Unknown","Aker CC, unknown company","Capture",2023,,,,"Planned",,14,14,"Power and heat","Unknown/unspecified",,"Unknown","https://akercarboncapture.com/?cision_id=42ED18602F06D910",,,,,,,"Link 1","","","","","",""
"Aker CC refinery (unknown facility)",1103,"United States","Aker CC, unknown company","Capture",2023,,,,"Planned",,1.2,1.2,"Other fuel transformation","Unknown/unspecified",,"North America",,,,,,,,"","","","","","",""
"Aker CC Swedish energy company (unknown)",1100,"Sweden","Aker CC, unknown company","Capture",2023,,,,"Planned",,0.2,0.2,"Power and heat","Unknown/unspecified",,"Europe",,,,,,,,"","","","","","",""
"Aker CC waste to energy Northern Europe (unknown facility)",1102,"Unknown","Aker CC, unknown company","Capture",2024,,,,"Planned",,,,"Power and heat","Unknown/unspecified",,"Europe","https://akercarboncapture.com/?cision_id=3538EFD96277831D",,,,,,,"Link 1","","","","","",""
"Aker CC WtE e-fuels",1098,"Finland","Aker CC, unknown company","CCU",2023,,,,"Planned",,0.1,0.1,"Power and heat","Use",,"Europe","https://akercarboncapture.com/?cision_id=4676790745A256E2",,,,,,,"Link 1","","","","","",""
"Alaska Railbelt CCS Project (AK)",976,"United States","University of Alaska Fairbanks","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage","Alaska Railbelt CCS Project (AK)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-2",,,,,,,"Link 1","","","","","",""
"Alberta Carbon Grid (ALB) phase 1 (Industrial heartland)",24,"Canada","Pembina Pipeline Corporation, TC Energy","T&S",2021,2025,2027,,"Planned",,10,10,"T&S","Dedicated storage","Alberta Carbon Grid (ALB)","North America","https://albertacarbongrid.ca/","https://albertacarbongrid.ca/news/acg-secures-rights-to-evaluate-one-of-the-largest-carbon-storage-areas-in-alberta/",,,,,,"Link 1","Link 2","","","","",""
"Alberta Carbon Grid (ALB) phase 2",492,"Canada","Pembina Pipeline Corporation, TC Energy","T&S",2021,,,,"Planned",,10,10,"T&S","Dedicated storage","Alberta Carbon Grid (ALB)","North America","https://albertacarbongrid.ca/news/acg-secures-rights-to-evaluate-one-of-the-largest-carbon-storage-areas-in-alberta/",,,,,,,"Link 1","","","","","",""
"Alberta Carbon Trunk Line (ACTL) - Edmonton Connector Phase 2",831,"Canada","Wolf Midstream","Transport",2023,2023,2024,,"Under construction",,7,7,"Transport","Dedicated storage","Alberta Carbon Trunk Line (ACTL)","North America","https://www.newswire.ca/news-releases/wolf-midstream-to-extend-alberta-carbon-trunk-line-into-the-edmonton-region-enabling-large-scale-emissions-reduction-872102700.html","https://gaspathways.com/wolf-midstream-to-extend-alberta-co2-pipeline-2209",,,,,,"Link 1","Link 2","","","","",""
