"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Grand Ouest CO2 (GOCO₂) transport",1114,"France","Grand Ouest, GRT Gaz, Heidelberg Materials, Elengy, Lafarge, Lhoist, TotalEnergies","Transport",2023,2027,2030,,"Planned",,2.6,2.6,"Transport","Dedicated storage","GoCO2","Europe","https://www.heidelbergmaterials.fr/fr/groupe-goco2-un-projet-denvergure-de-captage-de-conditionnement-et-de-transport-du-co2-dorigine-industrielle-en-pays-de-la-loire-et-pour-le-grand-ouest","https://www.globalcement.com/news/item/15992-go-co2-carbon-capture-and-storage-project-launched",,,,,,"Link 1","Link 2","","","","",""
"Grande Prairie Net Zero Gateway (ALB)",502,"Canada"," Keyera Corp.,  Entropy Inc., NorthRiver Midstream","Storage",2022,,,,"Planned",,3.3,3.3,"Storage","Dedicated storage","Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)","North America","https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx","https://www.linkedin.com/posts/entropyinc_carboncapture-alberta-co2hubs-activity-6983488956248047616-kWhw/","https://www.keyera.com/new-ventures/",,,,,"Link 1","Link 2","Link 3","","","",""
"Grandpuits biorefinery",581,"France","Air Liquide, TotalEnergies","CCU",2022,2022,2025,,"Under construction",,0.11,0.11,"Other fuel transformation","Use",,"Europe","https://www.airliquide.com/group/press-releases-news/2022-11-22/circular-economy-air-liquide-and-totalenergies-innovate-produce-renewable-and-low-carbon-hydrogen",,,,,,,"Link 1","","","","","",""
"Granite Falls biorefinery (MN)",175,"United States","Granite Falls Energy, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.15 - 0.18",0.18,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Great Carbon Valley DAC",838,"Kenya","Climeworks, Great Carbon Valley","Full chain",2023,,,,"Planned",,1,1,"DAC","Dedicated storage",,"Africa","https://climeworks.com/news/climeworks-and-great-carbon-valley-chart-path-to-large-scale-dac",,,,,,,"Link 1","","","","","",""
"Great Plains Synfuel Plant (ND) Weyburn-Midale (SK)",176,"United States","Dakota Gasification company, Cenovus, Whitecap, Cardinal","Full chain",1997,,2000,,"Operational",1,3,3,"Other fuel transformation","EOR","Weyburn storage unit","North America","https://www.greencarcongress.com/2021/08/20210819-bakken.html","http://www.zeroco2.no/projects/the-great-plains-synfuels-plant","https://www.dakotagas.com/about-us/co2-capture-and-storage/","https://www.wcap.ca/sustainability/co2-sequestration",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Great Plains Synfuel Plant to sequestration (ND)",1058,"United States","Dakota Gasification company","Full chain",2021,,,,"Planned",2,"1.5 - 2.13",1.5,"Other fuel transformation","Dedicated storage",,"North America","https://dakotagas.com/News-Center/news-briefs/Storage-facility-permit-application-submitted-for-carbon-dioxide-sequestration-project","https://dakotagas.com/News-Center/basin-today-stories/Cracking-the-code-Carbon-sequestration-project-will-benefit-environment,-co-op",,,,,,"Link 1","Link 2","","","","",""
"Green Plains Atkinson biorefinery (NE)",177,"United States","Green Plains Atkinson, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.14 - 0.16",0.157,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains Central City biorefinery (NE)",178,"United States","Green Plains Central City, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.3 - 0.33",0.332,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains Fairmont biorefinery (MN)",179,"United States","Green Plains Fairmont, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.3 - 0.34",0.343,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains Otter Tail biorefinery (MN)",180,"United States","Green Plains Otter Tail, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,0.172,0.172,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains Shenandoah biorefinery (MN)",181,"United States","Green Plains Shenandoah, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.21 - 0.24",0.235,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains Superior biorefinery (IA)",182,"United States","Green Plains Superior, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.15 - 0.17",0.172,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains Wood River biorefinery (NE)",183,"United States","Green Plains Wood River, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.31 - 0.35",0.346,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Green Plains York biorefinery (NE)",184,"United States","Green Plains York, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.13 - 0.14",0.143,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"GreenCem",728,"Denmark","Aalborg Portland, Aalborg University, DFDS, Aalborg Energi Holding, Port of Aalborg, REintegrate, RenoNord and Hydrogen Valley","Capture",2021,,2030,,"Planned",,0.4,0.4,"Cement","Dedicated storage","Norne carbon storage hub","Europe","https://www.c4cph.dk/","https://aalborgportlandholding.com/en/sustainability/Roadmap-to-2030#:~:text=In%20October%202022%2C%20a%20pilot,2%20per%20year%20by%202030.","https://greencem.dk/the-project/",,,,,"Link 1","Link 2","Link 3","","","",""
"GreenGen Huaneng IGCC Project Phase III (Tianjin)",186,"People's Republic of China","Huaneng","Full chain",2011,,2030,,"Planned",1,2,2,"Power and heat","Unknown/unspecified",,"Other Asia Pacific","https://48qdhih3uxxncvf45h3e296c-wpengine.netdna-ssl.com/wp-content/uploads/2021/09/China_CCUS_paper_September_2021.pdf",,,,,,,"Link 1","","","","","",""
"Greenview Region CCS Project (ALB)",503,"Canada"," ARC Resources Ltd. ","Storage",2022,,,,"Planned",,,,"Storage","Dedicated storage","Greenview Region CCS Project (ALB)","North America","https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx",,,,,,,"Link 1","","","","","",""
"GRTGaz CO2 backbone",1139,"France","GRTGaz","Transport",2023,,2028,,"Planned",,5,5,"Transport","Dedicated storage",,"Europe","https://www.grtgaz.com/en/our-energy-transition/co2-transport",,,,,,,"Link 1","","","","","",""
"Guanghui Energy CCUS integration project Phase 1 (Xinjiang)",642,"People's Republic of China","Guanghui Energy CO., Ltd, China Kunlun Engineering  (EPC)","Full chain",2021,2022,2023,,"Operational",,0.1,0.1,"Chemicals","EOR",,"Other Asia Pacific","https://www.mrchub.com/news/406625-guanghui-energy-builds-up-carbon-capture-utilisation-and-storage-demonstration-project-in-china","http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-03-15/600256_20220315_1_lNNoFbgj.pdf","https://news.bjx.com.cn/html/20230828/1328476.shtml",,,,,"Link 1","Link 2","Link 3","","","",""
"Gulf Coast Hydrogen Hub HyVelocity (TX)",923,"United States","GTI Energy, AES Corporation, Air Liquide, Chevron, Mitsubishi Power Americas, Chevron, Orsetd, Shell, Sempra Infrastructure ","Capture",2023,,,,"Planned",,,,"Hydrogen or ammonia","Dedicated storage",,"North America","https://www.hyvelocityhub.com/","https://www.chevron.com/newsroom/2023/q1/hydrogen-hub-proposed-for-us-gulf-coast",,,,,,"Link 1","Link 2","","","","",""
"Gulf Coast Sequestration Hub Lake Charles (LA)",579,"United States","Gulf Coast Sequestration ","Storage",2020,,2030,,"Planned",,2.7,2.7,"Storage","Dedicated storage","Gulf Coast Sequestration Hub(LA)","North America","https://gcscarbon.com/media/gulf-coast-sequestration-makes-initial-filing-to-obtain-epa-permit-for-ccs-project/","https://gcscarbon.com/gulf-coast-sequestration-and-climeworks-sign-mou-to-develop-first-direct-air-capture-and-storage-hub-on-the-gulf-coast-in-louisiana/","https://www.businesswire.com/news/home/20221121005556/en/Gulf-Coast-Sequestration-and-Climeworks-Sign-MOU-to-Develop-First-Direct-Air-Capture-and-Storage-Hub-on-the-Gulf-Coast-in-Louisiana",,,,,"Link 1","Link 2","Link 3","","","",""
"Gundih CCUS EGR",187,"Indonesia","Pertamina, ITB, JGC, J-Power, JANUS (supported by METI Japan)","Full chain",2020,,2030,,"Planned",,0.3,0.3,"Natural gas processing/LNG","EOR",,"Other Asia Pacific","https://www.upstreamonline.com/energy-transition/pertamina-drives-forward-with-ambitious-indonesia-ccus-project-plans/2-1-1032284",,,,,,,"Link 1","","","","","",""
"Gwangyang LNG terminal blue hydrogen",1066,"South Korea","POSCO, ADNOC","Capture",2024,,2029,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Other Asia Pacific","https://hydrogen-central.com/posco-teams-up-with-uae-adnoc-for-blue-hydrogen/",,,,,,,"Link 1","","","","","",""
"H21 Leeds City Gate - Teesside hydrogen",188,"United Kingdom","Northern Gas Networks","Capture",2014,,2035,,"Planned",,1.5,1.5,"Hydrogen or ammonia","Dedicated storage",,"Europe","https://h21.green/projects/h21-leeds-city-gate/",,,,,,,"Link 1","","","","","",""
"H2BE",190,"Belgium","Equinor, Engie","Capture",2021,,2028,,"Planned",,1.8,1.8,"Hydrogen or ammonia","Dedicated storage",,"Europe","https://www.equinor.com/en/news/20211215-launch-h2be-project-hydrogen-belgium.html",,,,,,,"Link 1","","","","","",""
"H2-gateway",819,"Netherlands","NHN, Gasterra, Gasunie, Port den Helder","Full chain",2020,,2027,,"Planned",,,1.8,"Hydrogen or ammonia","Dedicated storage",,"Europe","https://topsectorenergie.nl/documents/99/TKI_Nieuw_Gas-Overview_Hydrogen_projects_in_the_Netherlands_-_version_-_220627.pdf","https://www.porttechnology.org/news/port-of-amsterdam-unveils-blue-hydrogen-plant-plan/",,,,,,"Link 1","Link 2","","","","",""
"H2GE Rostock",455,"Germany","Equinor, VNG","Capture",2022,,2029,,"Planned",,1.8,1.8,"Hydrogen or ammonia","Dedicated storage","Northern Lights","Europe","https://www.equinor.com/energy/hydrogen",,,,,,,"Link 1","","","","","",""
"H2NorthEast Phase 1",193,"United Kingdom","Kellas Midstream, SSE Thermal (50%),Worley (FEED)","Capture",2021,2025,2028,,"Planned",,,0.869,"Hydrogen or ammonia","Dedicated storage","Northern Endurance Partnership","Europe","https://www.kellasmidstream.com/news-kellas/kellas-announces-the-development-of-h2northeast-a-low-carbon-blue-hydrogen-production-site-in-teesside-uk#:~:text=H2%20NorthEast%20is%20being%20developed,blue%20hydrogen%20capacity%20by%202030.","https://www.gov.uk/government/publications/cluster-sequencing-phase-2-eligible-projects-power-ccus-hydrogen-and-icc/cluster-sequencing-phase-2-track-1-project-negotiation-list-march-2023","https://www.nof.co.uk/news/2023/october/kellas-midstream-enters-feed-for-its-h2northeast-hydrogen-project-on-teesside/","https://www.sse.com/news-and-views/2023/12/sse-thermal-acquires-50-stake-in-h2northeast-hydrogen-project/",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"H2NorthEast Phase 2",194,"United Kingdom","Kellas Midstream, SSE Thermal (50%)","Capture",2021,,2030,,"Planned",,,1.578,"Hydrogen or ammonia","Dedicated storage","Northern Endurance Partnership","Europe","https://www.kellasmidstream.com/news-kellas/kellas-announces-the-development-of-h2northeast-a-low-carbon-blue-hydrogen-production-site-in-teesside-uk#:~:text=H2%20NorthEast%20is%20being%20developed,blue%20hydrogen%20capacity%20by%202030.","https://www.gov.uk/government/publications/cluster-sequencing-phase-2-eligible-projects-power-ccus-hydrogen-and-icc/cluster-sequencing-phase-2-track-1-project-negotiation-list-march-2023","https://www.nof.co.uk/news/2023/october/kellas-midstream-enters-feed-for-its-h2northeast-hydrogen-project-on-teesside/","https://www.sse.com/news-and-views/2023/12/sse-thermal-acquires-50-stake-in-h2northeast-hydrogen-project/",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"H2Perth Woodside",195,"Australia","Woodside, McDermott (pre-FEED)","Full chain",2021,2024,2025,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Australia and New Zealand","https://files.woodside/docs/default-source/media-releases/woodside%27s-h2perth-to-make-western-australia-a-hydrogen-powerhouse.pdf?sfvrsn=3857b154_2","https://research.csiro.au/hyresource/h2perth-new-project-added-november-2021/","https://www.upstreamonline.com/energy-transition/carbon-capture-investment-decisions-to-watch-in-2022-woodmac/2-1-1160392?utm_content=205143412&utm_medium=social&utm_source=linkedin&hss_channel=lcp-68760596","https://www.mcdermott-investors.com/news/press-release-details/2022/McDermott-Awarded-Pre-FEED-Contract-for-Proposed-H2Perth-Project-from-Woodside-Energy/default.aspx",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Habshan-Bab gas plant (Abu Dhabi CCS Phase 2)",5,"United Arab Emirates","ADNOC, Petrofac (EPC)","Full chain",2020,2023,2026,,"Under construction",,1.5,1.5,"Natural gas processing/LNG","EOR",,"Middle East","https://adnoc.ae/en/news-and-media/press-releases/2020/adnoc-to-build-on-its-position-as-one-of-the-least-carbon-intensive-oil-and-gas-producers","https://www.petrofac.com/media/news/adnoc-gas-awards-petrofac-contract-for-landmark-carbon-capture-utilisation-and-storage-project/","https://www.adnoc.ae/en/News-and-Media/Press-Releases/2023/ADNOC-to-Invest-in-One-of-the-Largest-Integrated-Carbon-Capture-Projects-in-MENA",,,,,"Link 1","Link 2","Link 3","","","",""
"Hackberry Carbon Sequestration (HCS) project at Cameron LNG (LA)",198,"United States","TotalEnergies, Sempra Infrastructure, Mitsui, and Mitsubishi","Full chain",2022,,,,"Planned",,2,2,"Natural gas processing/LNG","Dedicated storage",,"North America","https://totalenergies.com/media/news/press-releases/united-states-launch-carbon-capture-project-decarbonize-liquefied-natural",,,,,,,"Link 1","","","","","",""
"Hail and Gasha CO2 Management",161,"United Arab Emirates","ADNOC (70%), Eni (10% - Only CO2 capture), Wintershall Dea (10%), OMV (5%), Lukoil (5%)","Full chain",2021,2023,2028,,"Under construction",,1.5,1.5,"Natural gas processing/LNG","Dedicated storage",,"Middle East","https://www.adnoc.ae/our-projects/hail-ghasha/ghasha-mega-project","https://www.h2-view.com/story/adnoc-takes-fid-on-17bn-carbon-capture-and-hydrogen-project/2100053.article.article/",,,,,,"Link 1","Link 2","","","","",""
"Hanson Padeswood Cement Works CCS",303,"United Kingdom","Heidelberg Materials, Hanson, Mitsubishi HI (pre-FEED/FEED), Worley (FEED)","Capture",2021,2024,2028,,"Planned",,0.8,0.8,"Cement","Dedicated storage","Liverpool Bay CO2 storage (Hynet)","Europe","https://www.constructionnews.co.uk/news/cement-giant-aims-to-bring-uk-first-net-zero-plant-online-by-2027-06-04-2022/","https://www.mhi.com/news/22121502.html","https://www.gov.uk/government/publications/cluster-sequencing-phase-2-eligible-projects-power-ccus-hydrogen-and-icc/cluster-sequencing-phase-2-track-1-project-negotiation-list-march-2023",,,,,"Link 1","Link 2","Link 3","","","",""
"Harvest Bend CCS White Castle (LA)",888,"United States","Harvest Bend CCS LLC (Talos Energy, Enlink Midsteram, Storegga) ","Storage",2022,,,,"Planned",,5,5,"Storage","Unknown/unspecified","Harvest Bend (LA)","North America","https://www.harvestbendla.com/",,,,,,,"Link 1","","","","","",""
"Havnso storage/Trelleborg network (Norne carbon storage hub)",671,"Denmark","Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy","Storage",2022,,2030,,"Planned",2,16.4,16.4,"Storage","Dedicated storage","Norne carbon storage hub","Europe","https://zeroemissionsplatform.eu/wp-content/uploads/Detailed_information_regarding_the_candidate_projects_CO2_networks_Dec_2022_v2.pdf","https://www.prnewswire.com/news-releases/fidelis-new-energy-to-store-3-million-tons-of-co2-in-denmark-in-2026-and-10-million-tons-by-2028-301638454.html","https://www.prnewswire.com/da/pressemeddelelser/gas-storage-denmark-and-fidelis-new-energy-enter-into-a-collaboration-on-co2-storage-301823959.html","https://norneccs.com/en/news/",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Havstjerne CO2 storage (Altera Stella Maris CCS Project Phase 1)",772,"Norway","Altera (50%), Wintershall Dea (50%","T&S",2020,,,,"Planned",1,7,7,"T&S","Dedicated storage","Altera Stella Maris CCS/ Havstjerne ","Europe","https://www.globenewswire.com/news-release/2023/03/31/2638405/0/en/Altera-Infrastructure-and-Wintershall-Dea-Awarded-License-to-Develop-CO2-Storage-on-Norwegian-Continental-Shelf.html",,,,,,,"Link 1","","","","","",""
"Haynesville Shale natural gas (LA)",709,"United States","CapturePoint Solutions, Energy transfer","Capture",2022,2022,2024,,"Under construction",,2,2,"Natural gas processing/LNG","Dedicated storage","Central Louisiana Regional Carbon Storage (CENLA) Hub (LA)","North America","https://www.businesswire.com/news/home/20220804005835/en/CapturePoint-Solutions-LLC-Announces-Intended-Partnership-With-Energy-Transfer","https://capturepointllc.com/news/capturepoint-announces-intent-proceed-central-louisiana-carbon-capture-and-sequestration","https://www.momentummidstream.com/news/m6-midstream-announces-final-investment-decision-and-completes-two-acquisitions-establish",,,,,"Link 1","Link 2","Link 3","","","",""
"Heartland Greenway Storage (HGSS) NVC-1 (IL)",870,"United States","Heartland Greenway Carbon Storage LLC (Navigator Carbon Ventures)","Storage",2022,,,,"Planned",,,,"Storage","Unknown/unspecified",,"North America","https://www.epa.gov/uic/current-class-vi-projects-under-review-epa",,,,,,,"Link 1","","","","","",""
"Heartland Greenway Storage: Compass (IL)",872,"United States","Heartland Greenway Carbon Storage LLC","Storage",2023,,,,"Suspended/cancelled/decommissioned",,,,"Storage","Unknown/unspecified",,"North America","https://www.epa.gov/uic/current-class-vi-projects-under-review-epa",,,,,,,"Link 1","","","","","",""
"Heartland Greenway Storage: Vervain (IL)",871,"United States","Heartland Greenway Carbon Storage LLC","Storage",2023,,,,"Suspended/cancelled/decommissioned",,,,"Storage","Unknown/unspecified",,"North America","https://www.epa.gov/uic/current-class-vi-projects-under-review-epa",,,,,,,"Link 1","","","","","",""
"Heartland hydrogen hub (ALB)",385,"Canada","Suncor, ATCO","Capture",2021,2024,2028,,"Planned",,2,2,"Other fuel transformation","Dedicated storage","Atlas Carbon Sequestration Hub (alb)","North America","https://www.cbc.ca/news/canada/calgary/suncor-atco-hydrogen-project-alberta-1.6021796","https://www.linkedin.com/pulse/alberta-selects-shell-suncor-atco-atlas-carbon-hub-proposal-/?trk=organization-update-content_share-article",,,,,,"Link 1","Link 2","","","","",""
"Heidelberg Materials Brevik cement",201,"Norway","Heidelberg Materials (Norcem), Aker CC (tech)","Capture",2016,2020,2025,,"Under construction",,0.4,0.4,"Cement","Dedicated storage","Northern Lights","Europe","https://gassnova.no/app/uploads/2020/11/Gassnova-Developing-Longship-FINAL-1.pdf","https://www.heidelbergmaterials.com/en/pr-15-12-2020","https://ccsnorway.com/app/uploads/sites/6/2020/07/NC03-NOCE-A-RA-0009-Redacted-FEED-Study-DG3-Report-Rev01-1.pdf","https://netl.doe.gov/sites/default/files/netl-file/20CCUS_Carpenter.pdf",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Heidelberg Materials CBR Antoing Cement Plant (Anthemis)",660,"Belgium","Heidelberg Materials","Capture",2023,,2029,,"Planned",,0.8,0.8,"Cement","Dedicated storage","Fluxys Tournai-Zeebrugge","Europe","https://www.cbr.be/fr/cbr-a-lintention-de-construire-une-unite-hybride-de-capture-de-carbone-unique-en-son-genre-dans-sa-cimenterie-dantoing",,,,,,,"Link 1","","","","","",""
"Heidelberg Materials LEILAC 2",202,"Germany","Heidelberg Materials, Calix","Capture",2021,2022,2025,,"Under construction",,0.1,0.1,"Cement","Unknown/unspecified",,"Europe","https://www.heidelbergcement.com/en/pr-01-02-2021","https://www.leilac.com/project-leilac-2/",,,,,,"Link 1","Link 2","","","","",""
"Heidelberg Materials Mitchell plant (IN)",525,"United States","Heidelberg Materials","Capture",2022,,2030,,"Planned",,2,2,"Cement","Dedicated storage","Mitchell CarbonSAFE (IL)","North America","https://cementproducts.com/2022/09/07/heidelbergcement-to-build-major-ccus-project-in-indiana/","https://www.energy.gov/fecm/additional-selections-funding-opportunity-announcement-2515","https://www.energy.gov/fecm/project-selections-foa-2610-carbonsafe-phase-ii-storage-complex-feasibility",,,,,"Link 1","Link 2","Link 3","","","",""
"HeidelbergMaterials Edmonton Cement (ALB)",258,"Canada","Heidelberg Materials, Government of Canada (MoU), Enbridge, Technip (FEED)","Capture",2019,2024,2027,,"Planned",1,1,1,"Cement","Dedicated storage","Open Access Wabamun Carbon Hub (ALB)","North America","https://www.lehighhanson.com/resources/news/news/2021/01/22/low-carbon-cement-possible-with-ccs","https://www.cemnet.com/News/story/172124/lehigh-cement-signs-mou-for-edmonton-ccus-project.html","https://eralberta.ca/wp-content/uploads/2022/04/Lehigh-Edmonton-CCS-Feasibility-ERA-Project-Outcomes-Non-Confidential.pdf","https://eralberta.ca/wp-content/uploads/2022/04/Lehigh-Edmonton-CCS-Feasibility-ERA-Project-Outcomes-Non-Confidential.pdf","https://www.heidelbergmaterials.com/en/pr-2023-04-06","https://www.canada.ca/en/innovation-science-economic-development/news/2023/04/government-of-canada-signs-partnership-with-heidelberg-materials-to-decarbonize-the-cement-and-concrete-industry.html","https://www.mhi.com/news/23081702.html","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Heron Lake biorefinery (MN)",203,"United States","Heron Lake BioEnergy, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.16 - 0.19",0.186,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"HIF Cabo Negro eFuels Facility",1038,"Chile","HIF Chile","CCU",2021,,,,"Planned",,0.23,0.23,"Biofuels","Use",,"Central and South America","https://hifglobal.com/docs/default-source/documentos-noticias/chile/2023-12-14-faro-del-sur-wind-park-permit-in-chile.pdf?sfvrsn=a1d2fd03_1","https://hifglobal.com/docs/default-source/documentos-noticias/chile/2023-12-05-hif-and-enap-mou.pdf?sfvrsn=de7be150_3",,,,,,"Link 1","Link 2","","","","",""
"HIF Paysandú eFuels Facility Alur bioethanol plant",1039,"Uruguay","HIF Urugay, Alur","CCU",2023,,2025,,"Planned",,0.15,0.15,"Biofuels","Use",,"Central and South America","https://hifglobal.com/docs/default-source/documentos-noticias/chile/2023-06-hif-global-continues-expansion-with-new-project-in-uruguay.pdf?sfvrsn=64c4d4e_1","https://www.ancap.com.uy/innovaportal/file/18176/1/5---other-ancap-energy-transition-projects---europe-roadshow-2023.pdf",,,,,,"Link 1","Link 2","","","","",""
"HIF Tasmania eFuels Facility (TAS)",753,"Australia","HIF Asia Pacific, Technip (FEED), Forico (biomass supply)","CCU",2022,2025,2028,,"Planned",,0.3,0.3,"Power and heat","Use",,"Australia and New Zealand","http://www.hiftasmania.com.au/","https://hifglobal.com/wp-content/uploads/2022/07/HIF-Global-begins-approval-process-for-its-first-carbon-neutral-eFuels-manufacturing-facility-in-Australia.pdf","https://hifglobal.com/docs/default-source/documentos-noticias/chile/pr-2023-11-28-hif-and-forico-agreement-(final).pdf?sfvrsn=6f90842d_1","https://hifglobal.com/docs/default-source/documentos-noticias/chile/pr-2023-08-17-hif-engages-technip-energies-in-australia.pdf?sfvrsn=8795b0a4_1",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"HIF USA eFuels Matagorda County (TX)",205,"United States","HIF USA, Baker Hughes (DAC), Topsoe (e-fuel tech), Bechtel (FEED), Siemens energy (electrolysers), (Still involved? Honeywell (e-methanol to e-SAF tech), Johnson Matthey (e-methanol tech))","CCU",2021,2024,2027,,"Planned",,2,2,"DAC","Use",,"North America","https://www.hifglobal.com/docs/default-source/default-document-library/hif-global-selects-matagorda-county-for-efuels-facility.pdf?sfvrsn=6c09dfb1_3","https://matthey.com/hif-global-jm-honeywell","https://hifglobal.com/docs/default-source/documentos-noticias/chile/pr-2023-12-01-hif-usa-idemitsu-loi-for-emethanol-(1).pdf?sfvrsn=a4d07b9d_1",,,,,"Link 1","Link 2","Link 3","","","",""
"Highwater Ethanol Lamberton biorefinery (MN)",206,"United States","Highwater Ethanol Lamberton, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.13 - 0.16",0.157,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Hinton Bioenergy CCS project (ALB)",609,"Canada"," Vault 44.01 Ltd, West Fraser, TorchLight Bioresources","Capture",2022,2025,2027,,"Planned",,1.26,1.26,"Other industry","Dedicated storage","Rocky Mountain Carbon Vault (ALB)","North America","https://www.eralberta.ca/projects/details/hinton-bioenergy-carbon-capture-and-storage-project/",,,,,,,"Link 1","","","","","",""
"HOFOR Amagerværket",1080,"Denmark","Hofor","Capture",2021,,2030,,"Planned",,0.9,0.9,"Power and heat","Unknown/unspecified",,"Europe","https://www.geos.ed.ac.uk/sccs/project-info/2731",,,,,,,"Link 1","","","","","",""
